name,language,country,genre
Roma Tatili (Roman Holiday),İngilizce,Amerika Birleşik Devletleri,Romantik Komedi
Senden Nefret Etmemin 10 Sebebi (10 Things I Hate About You),İngilizce,Amerika Birleşik Devletleri,Romantik Komedi
Bir Gün (One Day),İngilizce,"Amerika Birleşik Devletleri, Birleşik Krallık",Romantik Dram
Blade Runner 2049,İngilizce,"ABD, Kanada, İngiltere","Bilim Kurgu, Gerilim"
Arrival,İngilizce,ABD,"Bilim Kurgu, Dram, Gizem"
Interstellar,İngilizce,"ABD, İngiltere, Kanada","Bilim Kurgu, Macera, Dram"
Gattaca,İngilizce,ABD,"Bilim Kurgu, Dram, Gerilim"
Contact,İngilizce,ABD,"Bilim Kurgu, Dram, Gizem"
District 9,"İngilizce, Afrikaanca, Xhosa","Güney Afrika, ABD, Yeni Zelanda, Kanada","Bilim Kurgu, Aksiyon, Gerilim"
Ex Machina,İngilizce,İngiltere,"Bilim Kurgu, Dram, Gerilim"
Edge of Tomorrow,İngilizce,"ABD, Avustralya","Bilim Kurgu, Aksiyon"
Moon,İngilizce,İngiltere,"Bilim Kurgu, Dram, Gizem"
Children of Men,İngilizce,"ABD, İngiltere","Bilim Kurgu, Gerilim, Dram"
Esaretin Bedeli (The Shawshank Redemption),İngilizce,ABD,Dram
Baba (The Godfather),"İngilizce, İtalyanca, Latince",ABD,"Suç, Dram"
Kara Şövalye (The Dark Knight),İngilizce,"ABD, İngiltere","Aksiyon, Suç, Dram"
Schindler'in Listesi (Schindler's List),"İngilizce, Almanca, İbranice, Lehçe",ABD,"Biyografi, Dram, Tarih"
Yüzüklerin Efendisi: Yüzük Kardeşliği (The Lord of the Rings: The Fellowship of the Ring),"İngilizce, Sindarin","Yeni Zelanda, ABD","Aksiyon, Macera, Fantastik"
Dövüş Kulübü (Fight Club),İngilizce,"ABD, Almanya",Dram
Başlangıç (Inception),"İngilizce, Japonca, Fransızca","ABD, İngiltere","Aksiyon, Bilim Kurgu, Gerilim"
"İyi, Kötü ve Çirkin (Il buono, il brutto, il cattivo)","İtalyanca, İngilizce","İtalya, İspanya, Almanya",Western
Forrest Gump,İngilizce,ABD,"Dram, Romantik"
Parazit (Gisaengchung),Korece,Güney Kore,"Komedi, Dram, Gerilim"
Kuzuların Sessizliği,İngilizce,ABD,Gerilim
Yedi,İngilizce,ABD,Gerilim
Testere,İngilizce,ABD,Gerilim
Akıl Oyunları,İngilizce,ABD,Gerilim
Zindan Adası,İngilizce,ABD,Gerilim
Kusursuz Cinayet,İngilizce,ABD,Gerilim
Ölümcül Takip,Korece,Güney Kore,Gerilim
Gerçeğin Peşinde,İspanyolca,İspanya,Gerilim
Kayıp Kız,İngilizce,ABD,Gerilim
Şüphe,İngilizce,ABD,Gerilim
Kuzuların Sessizliği (The Silence of the Lambs),İngilizce,ABD,"Gerilim, Suç"
Yedi (Se7en),İngilizce,ABD,"Gerilim, Suç, Gizem"
Akıl Oyunları (The Game),İngilizce,ABD,"Gerilim, Gizem"
Sapık (Psycho),İngilizce,ABD,"Korku, Gerilim, Gizem"
Köstebek (The Departed),İngilizce,ABD,"Gerilim, Suç, Dram"
Şüphe (Prisoners),İngilizce,ABD,"Gerilim, Suç, Dram"
Memento,İngilizce,ABD,"Gerilim, Gizem"
Mekanik (The Machinist),İngilizce,"İspanya, ABD, Fransa, İngiltere","Gerilim, Dram, Gizem"
Zindan Adası (Shutter Island),İngilizce,ABD,"Gerilim, Gizem"
Mavi Kadife (Blue Velvet),İngilizce,ABD,"Gerilim, Gizem, Dram"
Kuzuların Sessizliği,İngilizce,ABD,Gerilim
Yedi,İngilizce,ABD,Gerilim
Akıl Oyunları,İngilizce,ABD,Gerilim
Zodiac,İngilizce,ABD,Gerilim
Köstebek,İngilizce,ABD,Gerilim
Şüphe,Fransızca,Fransa,Gerilim
Mekanik,İspanyolca,İspanya,Gerilim
Parazit,Korece,Güney Kore,Gerilim
Hatırlatma,İngilizce,ABD,Gerilim
Kayıp Kız,İngilizce,ABD,Gerilim
Esaretin Bedeli,İngilizce,ABD,Drama
Yeşil Yol,İngilizce,ABD,"Drama, Fantastik"
Schindler'in Listesi,"İngilizce, Almanca, İbranice",ABD,"Drama, Tarihi, Savaş"
Can Dostum,İngilizce,ABD,Drama
Dövüş Kulübü,İngilizce,ABD,Drama
Piyanist,"İngilizce, Almanca","Fransa, Polonya, Almanya, İngiltere","Drama, Biyografi, Savaş"
Forrest Gump,İngilizce,ABD,"Drama, Romantik"
Kuzuların Sessizliği,İngilizce,ABD,"Drama, Gerilim, Suç"
Hayat Güzeldir,"İtalyanca, Almanca",İtalya,"Drama, Komedi, Savaş"
Baba,"İngilizce, İtalyanca, Latince, Sicilyaca",ABD,"Drama, Suç"
Yüzüklerin Efendisi: Yüzük Kardeşliği,İngilizce,"Yeni Zelanda, ABD","Fantastik, Macera"
Ejderha Dövmeli Kız,İsveçce,"İsveç, Danimarka, Almanya, Norveç","Gerilim, Gizem, Suç"
Pan'ın Labirenti,İspanyolca,"Meksika, İspanya","Fantastik, Dram"
Prenses Mononoke,Japonca,Japonya,"Animasyon, Fantastik, Macera"
Harry Potter ve Felsefe Taşı,İngilizce,"ABD, İngiltere","Fantastik, Aile, Macera"
Başlangıç,İngilizce,"ABD, İngiltere","Bilim Kurgu, Aksiyon, Macera"
"Fantastik Canavarlar Nelerdir, Nerede Bulunurlar?",İngilizce,"ABD, İngiltere","Fantastik, Macera, Aile"
Büyük Budapeşte Oteli,İngilizce,"ABD, Almanya","Komedi, Macera, Suç"
Stardust,İngilizce,"ABD, İngiltere","Fantastik, Romantik, Macera"
Efsane,İngilizce,"ABD, İngiltere","Fantastik, Macera"
Yüzüklerin Efendisi: Yüzük Kardeşliği,İngilizce,"ABD, Yeni Zelanda","Fantastik, Macera"
Harry Potter ve Felsefe Taşı,İngilizce,"Birleşik Krallık, ABD","Fantastik, Aile"
Prenses Gelin,İngilizce,ABD,"Fantastik, Komedi, Macera"
Pan'ın Labirenti,İspanyolca,"Meksika, İspanya","Fantastik, Dram, Savaş"
Ejderhanı Nasıl Eğitirsin,İngilizce,ABD,"Fantastik, Animasyon, Macera"
"Fantastik Canavarlar Nelerdir, Nerede Bulunurlar?",İngilizce,"Birleşik Krallık, ABD","Fantastik, Macera"
Stardust,İngilizce,"ABD, Birleşik Krallık","Fantastik, Macera, Romantik"
Efsane,İngilizce,"ABD, Birleşik Krallık","Fantastik, Macera"
Willow,İngilizce,ABD,"Fantastik, Macera"
NeverEnding Story,İngilizce,"Almanya, ABD","Fantastik, Macera, Aile"
Free Solo,İngilizce,ABD,"Belgesel, Spor"
Icarus,"İngilizce, Rusça",ABD,"Belgesel, Spor, Gerilim"
My Octopus Teacher,İngilizce,Güney Afrika,"Belgesel, Doğa"
The Social Dilemma,İngilizce,ABD,"Belgesel, Drama"
Citizenfour,"İngilizce, Almanca","ABD, Almanya, Birleşik Krallık","Belgesel, Biyografi, Gerilim"
Amy,İngilizce,Birleşik Krallık,"Belgesel, Biyografi, Müzik"
Blackfish,İngilizce,ABD,"Belgesel, Suç, Drama"
Searching for Sugar Man,"İngilizce, İsveççe","İsveç, Birleşik Krallık","Belgesel, Müzik"
Exit Through the Gift Shop,"İngilizce, Fransızca","Birleşik Krallık, ABD","Belgesel, Komedi, Suç"
Man with a Movie Camera,Rusça (sessiz),Sovyetler Birliği,"Belgesel, Deneysel"
Hayat Güzeldir (La Vita è Bella),İtalyanca,İtalya,"Dram, Komedi, Savaş"
"Aptal Aşıklar (Crazy, Stupid, Love)",İngilizce,ABD,Romantik Komedi
Bekarlığa Veda (The Hangover),İngilizce,ABD,Komedi
Geleceğe Dönüş (Back to the Future),İngilizce,ABD,"Bilim Kurgu, Komedi, Macera"
Şeker Portakalı (Meu Pé de Laranja Lima),Portekizce,Brezilya,"Dram, Komedi"
Görünmeyen Misafir (Contratiempo),İspanyolca,İspanya,"Gizem, Gerilim, Suç"
Asabiyim Ben (Anger Management),İngilizce,ABD,Komedi
Borat,İngilizce,ABD,Komedi
Pişman Olmayacağım (Je ne suis pas un homme facile),Fransızca,Fransa,Komedi
Bay Evet (Yes Man),İngilizce,ABD,Komedi
Kuzuların Sessizliği,İngilizce,ABD,"Gizem, Gerilim"
Prestij,İngilizce,"ABD, İngiltere","Gizem, Bilim Kurgu, Gerilim"
Kayıp Kız,İngilizce,ABD,"Gizem, Gerilim, Dram"
Yedi,İngilizce,ABD,"Gizem, Suç, Gerilim"
Bıçaklar Çekildi,İngilizce,ABD,"Gizem, Komedi, Suç"
Arka Pencere,İngilizce,ABD,"Gizem, Gerilim"
Akıl Defteri,İngilizce,ABD,"Gizem, Gerilim"
Shutter Island,İngilizce,ABD,"Gizem, Gerilim, Psikolojik Gerilim"
Zodiac,İngilizce,ABD,"Gizem, Suç, Gerilim"
Usual Suspects,İngilizce,"ABD, Almanya","Gizem, Suç, Gerilim"
Mad Max: Fury Road,İngilizce,"Avustralya, ABD","Aksiyon, Bilim Kurgu"
John Wick,İngilizce,ABD,"Aksiyon, Gerilim"
The Raid: Redemption,Endonezce,Endonezya,"Aksiyon, Suç"
Mission: Impossible - Fallout,İngilizce,ABD,"Aksiyon, Macera"
Die Hard,İngilizce,ABD,"Aksiyon, Gerilim"
Terminator 2: Judgment Day,İngilizce,ABD,"Aksiyon, Bilim Kurgu"
Kill Bill: Vol. 1,"İngilizce, Japonca",ABD,"Aksiyon, Suç"
Edge of Tomorrow,İngilizce,"ABD, Avustralya","Aksiyon, Bilim Kurgu"
"Crouching Tiger, Hidden Dragon",Mandarin,"Çin, Hong Kong, Tayvan, ABD","Aksiyon, Fantastik"
Casino Royale,"İngilizce, Fransızca, Almanca","Birleşik Krallık, ABD, Çek Cumhuriyeti, Almanya","Aksiyon, Macera"
Esaretin Bedeli,İngilizce,ABD,Dram
Baba,İngilizce,ABD,"Suç, Dram"
Kara Şövalye,İngilizce,"ABD, İngiltere","Aksiyon, Suç, Dram"
12 Öfkeli Adam,İngilizce,ABD,Dram
Schindler'in Listesi,"İngilizce, Almanca, İbranice, Lehçe",ABD,"Biyografi, Dram, Tarih"
Yüzüklerin Efendisi: Yüzük Kardeşliği,"İngilizce, Sindarin","Yeni Zelanda, ABD","Aksiyon, Macera, Fantastik"
Dövüş Kulübü,İngilizce,"ABD, Almanya",Dram
Başlangıç,"İngilizce, Japonca, Fransızca","ABD, İngiltere","Aksiyon, Macera, Bilim Kurgu"
Forrest Gump,İngilizce,ABD,"Dram, Romantik"
"İyi, Kötü ve Çirkin",İtalyanca,"İtalya, İspanya, Almanya",Western
Aşk Her Yerde (Love Actually),İngilizce,Birleşik Krallık,Romantik Komedi
Not Defteri (The Notebook),İngilizce,ABD,Romantik Drama
Titanik (Titanic),İngilizce,ABD,Romantik Drama
Kiraz Mevsimi (In the Mood for Love),Kantonca,Hong Kong,Romantik Drama
Amélie,Fransızca,Fransa,Romantik Komedi
Aynı Yıldızın Altında (The Fault in Our Stars),İngilizce,ABD,Romantik Drama
50 İlk Öpücük (50 First Dates),İngilizce,ABD,Romantik Komedi
Aşk (Her),İngilizce,ABD,Romantik Bilim Kurgu
Gönül Yarası,Türkçe,Türkiye,Romantik Drama
Evlen Benimle (Marry Me),İngilizce,ABD,Romantik Komedi
Esaretin Bedeli,İngilizce,ABD,Drama
Yeşil Yol,İngilizce,ABD,Drama
Forrest Gump,İngilizce,ABD,Drama
Piyanist,İngilizce,"Fransa, Polonya, Almanya, İngiltere","Drama, Biyografi, Savaş"
Schindler'in Listesi,İngilizce,ABD,"Drama, Tarih, Savaş"
Can Dostum (Intouchables),Fransızca,Fransa,"Drama, Komedi"
Hayat Güzeldir (La Vita è Bella),İtalyanca,İtalya,"Drama, Komedi, Savaş"
12 Kızgın Adam,İngilizce,ABD,Drama
Baba (The Godfather),"İngilizce, İtalyanca, Latince, Sicilyaca",ABD,"Drama, Suç"
Akıl Oyunları (A Beautiful Mind),İngilizce,ABD,"Drama, Biyografi"
Esaretin Bedeli,İngilizce,ABD,Dram
Baba,İngilizce,ABD,"Suç, Dram"
Kara Şövalye,İngilizce,"ABD, İngiltere","Aksiyon, Suç, Dram"
12 Öfkeli Adam,İngilizce,ABD,Dram
Schindler'in Listesi,"İngilizce, Almanca, İbranice, Lehçe",ABD,"Biyografi, Dram, Tarih"
Yüzüklerin Efendisi: Yüzük Kardeşliği,"İngilizce, Sindarin","Yeni Zelanda, ABD","Aksiyon, Macera, Fantastik"
Dövüş Kulübü,İngilizce,"ABD, Almanya",Dram
Başlangıç,"İngilizce, Japonca, Fransızca","ABD, İngiltere","Aksiyon, Macera, Bilim Kurgu"
Forrest Gump,İngilizce,ABD,"Dram, Romantik"
"İyi, Kötü ve Çirkin",İtalyanca,"İtalya, İspanya, Batı Almanya",Western
Kuzuların Sessizliği,İngilizce,ABD,"Gizem, Gerilim, Suç"
Kayıp Kız,İngilizce,ABD,"Gizem, Gerilim, Dram"
Cinayet Günlüğü,Korece,Güney Kore,"Gizem, Gerilim, Suç"
Bıçaklar Çekildi,İngilizce,ABD,"Gizem, Komedi, Suç"
Prestij,İngilizce,"ABD, İngiltere","Gizem, Dram, Gerilim"
Yedinci,İngilizce,ABD,"Gizem, Gerilim, Suç"
Akıl Defteri,İngilizce,ABD,"Gizem, Gerilim"
Zindan Adası,İngilizce,ABD,"Gizem, Gerilim, Dram"
Şüphe,İngilizce,ABD,"Gizem, Gerilim, Suç"
Kusursuz Cinayet,İngilizce,ABD,"Gizem, Gerilim, Suç"
Mad Max: Fury Road,İngilizce,"Avustralya, ABD","Aksiyon, Macera, Bilim Kurgu"
John Wick,İngilizce,ABD,"Aksiyon, Gerilim"
The Raid: Redemption,Endonezce,Endonezya,"Aksiyon, Suç, Gerilim"
Kill Bill: Vol. 1,"İngilizce, Japonca",ABD,"Aksiyon, Suç, Gerilim"
Mission: Impossible - Fallout,İngilizce,ABD,"Aksiyon, Macera, Gerilim"
Terminator 2: Judgment Day,İngilizce,ABD,"Aksiyon, Bilim Kurgu"
Die Hard,İngilizce,ABD,"Aksiyon, Gerilim"
"Crouching Tiger, Hidden Dragon",Mandarin,"Çin, Hong Kong, Tayvan, ABD","Aksiyon, Macera, Fantastik"
Edge of Tomorrow,İngilizce,"ABD, Avustralya","Aksiyon, Bilim Kurgu"
Gladiator,İngilizce,"ABD, İngiltere","Aksiyon, Macera, Dram"
Esaretin Bedeli,İngilizce,ABD,Drama
Yeşil Yol,İngilizce,ABD,Drama
Piyanist,"İngilizce, Almanca, Rusça","Fransa, İngiltere, Almanya, Polonya","Drama, Biyografi, Savaş"
Schindler'in Listesi,"İngilizce, Almanca, İbranice",ABD,"Drama, Tarih, Savaş"
Can Dostum,Fransızca,Fransa,"Drama, Komedi"
Forrest Gump,İngilizce,ABD,"Drama, Romantik"
Hayat Güzeldir,"İtalyanca, Almanca, İngilizce",İtalya,"Drama, Komedi, Savaş"
Akıl Oyunları,İngilizce,ABD,"Drama, Biyografi"
Kuzuların Sessizliği,İngilizce,ABD,"Gerilim, Drama, Suç"
Dövüş Kulübü,İngilizce,"ABD, Almanya",Drama
Esaretin Bedeli (The Shawshank Redemption),İngilizce,ABD,Drama
Yeşil Yol (The Green Mile),İngilizce,ABD,"Drama, Fantastik"
Schindler'in Listesi (Schindler's List),"İngilizce, Almanca, İbranice",ABD,"Drama, Tarih, Biyografi"
Forrest Gump,İngilizce,ABD,"Drama, Romantik"
Piyanist (The Pianist),"İngilizce, Almanca","Fransa, Polonya, Almanya, İngiltere","Drama, Biyografi, Savaş"
Can Dostum (Good Will Hunting),İngilizce,ABD,Drama
Hayat Güzeldir (La Vita è Bella),İtalyanca,İtalya,"Drama, Komedi, Savaş"
12 Öfkeli Adam (12 Angry Men),İngilizce,ABD,Drama
Guguk Kuşu (One Flew Over the Cuckoo's Nest),İngilizce,ABD,Drama
Baba (The Godfather),"İngilizce, İtalyanca, Latince, Sicilyaca",ABD,"Drama, Suç"
Yüzüklerin Efendisi: Yüzük Kardeşliği,İngilizce,"ABD, Yeni Zelanda","Fantastik, Macera"
Harry Potter ve Felsefe Taşı,İngilizce,"İngiltere, ABD","Fantastik, Aile"
Pan'ın Labirenti,İspanyolca,"İspanya, Meksika","Fantastik, Drama"
Ejderhanı Nasıl Eğitirsin,İngilizce,ABD,"Animasyon, Fantastik"
Prenses Mononoke,Japonca,Japonya,"Animasyon, Fantastik"
Başlangıç (Inception),İngilizce,"ABD, İngiltere","Bilim Kurgu, Aksiyon, Fantastik"
Sonsuzluk Savaşı,İngilizce,ABD,"Aksiyon, Fantastik, Bilim Kurgu"
Malefiz,İngilizce,ABD,"Fantastik, Macera"
Stardust,İngilizce,"İngiltere, ABD","Fantastik, Romantik"
Yaratık (The Shape of Water),İngilizce,ABD,"Fantastik, Drama, Romantik"
Blade Runner 2049,İngilizce,ABD,Bilim Kurgu
Arrival,İngilizce,ABD,Bilim Kurgu
Interstellar,İngilizce,ABD,Bilim Kurgu
Gattaca,İngilizce,ABD,Bilim Kurgu
District 9,İngilizce,"Güney Afrika, ABD",Bilim Kurgu
Ex Machina,İngilizce,Birleşik Krallık,Bilim Kurgu
Children of Men,İngilizce,"Birleşik Krallık, ABD",Bilim Kurgu
Primer,İngilizce,ABD,Bilim Kurgu
Moon,İngilizce,Birleşik Krallık,Bilim Kurgu
Stalker (İz Sürücü),Rusça,Sovyetler Birliği,"Bilim Kurgu, Sanat"
Mad Max: Fury Road,İngilizce,"Avustralya, ABD","Aksiyon, Bilim Kurgu"
John Wick,İngilizce,ABD,"Aksiyon, Gerilim"
The Raid: Redemption,Endonezce,Endonezya,"Aksiyon, Suç"
Mission: Impossible - Fallout,İngilizce,ABD,"Aksiyon, Macera"
Terminator 2: Judgment Day,İngilizce,ABD,"Aksiyon, Bilim Kurgu"
Kill Bill: Vol. 1,"İngilizce, Japonca",ABD,"Aksiyon, Suç"
Die Hard,İngilizce,ABD,"Aksiyon, Gerilim"
"Crouching Tiger, Hidden Dragon",Mandarin,"Çin, Tayvan, Hong Kong, ABD","Aksiyon, Fantastik"
Edge of Tomorrow,İngilizce,"ABD, Avustralya","Aksiyon, Bilim Kurgu"
The Matrix,İngilizce,ABD,"Aksiyon, Bilim Kurgu"
Hereditary,İngilizce,ABD,"Korku, Gizem"
The Babadook,İngilizce,Avustralya,"Korku, Gerilim"
It Follows,İngilizce,ABD,"Korku, Gizem"
The Witch,İngilizce,"ABD, Kanada","Korku, Gizem"
Get Out,İngilizce,ABD,"Korku, Gerilim"
A Quiet Place,İngilizce,ABD,"Korku, Bilim Kurgu"
Train to Busan,Korece,Güney Kore,"Korku, Aksiyon"
The Conjuring,İngilizce,ABD,"Korku, Gerilim"
REC,İspanyolca,İspanya,"Korku, Gerilim"
The Exorcist,İngilizce,ABD,Korku
Mad Max: Fury Road,İngilizce,"Avustralya, ABD","Aksiyon, Bilim Kurgu"
John Wick,İngilizce,ABD,"Aksiyon, Gerilim"
The Raid: Redemption,Endonezyaca,Endonezya,"Aksiyon, Dövüş Sanatları"
Mission: Impossible - Fallout,İngilizce,ABD,"Aksiyon, Casusluk"
Kill Bill: Vol. 1,"İngilizce, Japonca",ABD,"Aksiyon, Suç"
Terminator 2: Judgment Day,İngilizce,ABD,"Aksiyon, Bilim Kurgu"
Die Hard,İngilizce,ABD,"Aksiyon, Gerilim"
Gladiator,İngilizce,"ABD, Birleşik Krallık","Aksiyon, Dram"
"Crouching Tiger, Hidden Dragon",Mandarin,"Çin, Hong Kong, Tayvan, ABD","Aksiyon, Dövüş Sanatları"
Edge of Tomorrow,İngilizce,"ABD, Avustralya","Aksiyon, Bilim Kurgu"
Aşk Her Yerde (Love Actually),İngilizce,Birleşik Krallık,Romantik Komedi
Not Defteri (The Notebook),İngilizce,ABD,Romantik Dram
Aşıklar Şehri (La La Land),İngilizce,ABD,Romantik Müzikal
Titanik (Titanic),İngilizce,ABD,Romantik Dram
Pride & Prejudice (Aşk ve Gurur),İngilizce,Birleşik Krallık,Romantik Dram
50 İlk Öpücük (50 First Dates),İngilizce,ABD,Romantik Komedi
Kiraz Mevsimi (Chungking Express),"Kantonca, İngilizce",Hong Kong,Romantik Dram
Seninle Karşılaşmadan Önce (Me Before You),İngilizce,"ABD, Birleşik Krallık",Romantik Dram
Geleceğe Dönüş (About Time),İngilizce,Birleşik Krallık,"Romantik Komedi, Bilim Kurgu"
Amelie,Fransızca,Fransa,Romantik Komedi
Aşk Her Yerde (Love Actually),İngilizce,Birleşik Krallık,Romantik Komedi
Not Defteri (The Notebook),İngilizce,Amerika Birleşik Devletleri,Romantik Dram
Titanik (Titanic),İngilizce,Amerika Birleşik Devletleri,Romantik Dram
Kiraz Mevsimi (Chungking Express),Kantonca,Hong Kong,Romantik Dram
Aşk (Amour),Fransızca,"Fransa, Almanya, Avusturya",Romantik Dram
500 Days of Summer,İngilizce,Amerika Birleşik Devletleri,Romantik Komedi
Pride & Prejudice,İngilizce,"Birleşik Krallık, Fransa, Amerika Birleşik Devletleri",Romantik Dram
Before Sunrise,İngilizce,"Amerika Birleşik Devletleri, Avusturya, İsviçre",Romantik Dram
When Harry Met Sally...,İngilizce,Amerika Birleşik Devletleri,Romantik Komedi
City Lights,Sessiz Film (Ara Yazılar İngilizce),Amerika Birleşik Devletleri,"Romantik Komedi, Dram"
Esaretin Bedeli (The Shawshank Redemption),İngilizce,ABD,Dram
Baba (The Godfather),"İngilizce, İtalyanca, Latince",ABD,"Suç, Dram"
Kara Şövalye (The Dark Knight),İngilizce,"ABD, İngiltere","Aksiyon, Suç, Dram"
12 Öfkeli Adam (12 Angry Men),İngilizce,ABD,Dram
Schindler'in Listesi (Schindler's List),"İngilizce, Almanca, İbranice, Lehçe",ABD,"Biyografi, Dram, Tarih"
Yüzüklerin Efendisi: Yüzük Kardeşliği (The Lord of the Rings: The Fellowship of the Ring),"İngilizce, Sindarin","Yeni Zelanda, ABD","Aksiyon, Macera, Fantastik"
Ucuz Roman (Pulp Fiction),"İngilizce, Fransızca, İspanyolca",ABD,"Suç, Dram"
"İyi, Kötü ve Çirkin (Il buono, il brutto, il cattivo)",İtalyanca,"İtalya, İspanya, Batı Almanya",Western
Dövüş Kulübü (Fight Club),İngilizce,"ABD, Almanya",Dram
Forrest Gump,İngilizce,ABD,"Dram, Romantik"
Hereditary (Ayin),İngilizce,ABD,"Korku, Gizem"
The Babadook,İngilizce,"Avustralya, Kanada","Korku, Gerilim"
It Follows (Peşimdeki Şeytan),İngilizce,ABD,"Korku, Gizem"
The Witch (Cadı),İngilizce,"ABD, Kanada, İngiltere, Brezilya","Korku, Tarihi"
A Quiet Place (Sessiz Bir Yer),İngilizce,ABD,"Korku, Bilim Kurgu"
Get Out (Kapan),İngilizce,ABD,"Korku, Gerilim"
Train to Busan (Zombi Ekspresi),Korece,Güney Kore,"Korku, Aksiyon"
The Exorcist (Şeytan),İngilizce,ABD,Korku
Psycho (Sapık),İngilizce,ABD,"Korku, Gerilim"
The Shining (Cinnet),İngilizce,"ABD, İngiltere","Korku, Gerilim"
Hayat Güzeldir (La vita è bella),İtalyanca,İtalya,Komedi-Drama
Aptal ve Avan (Dumb and Dumber),İngilizce,ABD,Komedi
Monty Python ve Kutsal Kase (Monty Python and the Holy Grail),İngilizce,İngiltere,Komedi
Ace Ventura: Pet Detective,İngilizce,ABD,Komedi
Bekarlığa Veda (The Hangover),İngilizce,ABD,Komedi
